Duration,Status,No. of previous failures,LENGTH,A_DIAM,Year,PRESSURE(bar),Failure Year,AADT (traffic) ( When failure occurred ),Mean Dew Point (deg. C) ( When failure occurred ),Mean Relative Humidity (%) ( When failure occurred ),Total Rainfall (mm) ( When failure occurred ),LANDUSE,LPR_Corros,A_MAT,TYPE,FAULT_TYPE,DEFECT1LV1,DEF_NATURE
35,1,0,109.01,550,1979,4.83,2014,,25.6,83,182,URBAN,Mildly Corrosive,S,CARRIAGEWAY,LEAK,C01,M
5,1,2,1.501,25,2009,7.62,2014,,25.1,82,,RURAL,Mildly Corrosive,PE,Other Location,LEAK,C01,M
15,1,3,1.043,150,1999,2.07,2014,,24.2,79,,RURAL,Mildly Corrosive,DI,Other Location,LEAK,C01,M
23,1,0,7.711,100,1991,1.24,2014,,24.2,79,,URBAN,Highly Corrosive,DI,Other Location,LEAK,C01,M
23,1,1,108.582,100,1991,0.96,2014,,24.2,79,,URBAN,Highly Corrosive,DI,Other Location,LEAK,C01,M
15,1,4,1.043,150,1999,2.07,2014,,19.4,69,,RURAL,Mildly Corrosive,DI,Other Location,LEAK,C01,M
5,1,0,2.886,20,2009,5,2014,,24.2,80,119,URBAN,Mildly Corrosive,PE,Other Location,LEAK,C01,M
29,1,1,104.46,40,1985,9.77,2014,,8.2,63,39.5,RURAL,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C05,M
8,1,0,1.245,25,2006,6.27,2014,,7.7,63,47.5,RURAL,Mildly Corrosive,PE,Other Location,LEAK,C01,M
26,1,0,4.829,300,1990,4.51,2016,,21.4,93,230,URBAN,Non-Corrosive,DI,CARRIAGEWAY,LEAK,C01,M
